Datetime,DAYTON_MW
2011-10-08 01:00:00,1449.0
2011-10-08 02:00:00,1363.0
2011-10-08 03:00:00,1307.0
2011-10-08 04:00:00,1286.0
2011-10-08 05:00:00,1284.0
2011-10-08 06:00:00,1329.0
2011-10-08 07:00:00,1409.0
2011-10-08 08:00:00,1496.0
2011-10-08 09:00:00,1561.0
2011-10-08 10:00:00,1652.0
2011-10-08 11:00:00,1712.0
2011-10-08 12:00:00,1743.0
2011-10-08 13:00:00,1753.0
2011-10-08 14:00:00,1778.0
2011-10-08 15:00:00,1789.0
2011-10-08 16:00:00,1805.0
2011-10-08 17:00:00,1832.0
2011-10-08 18:00:00,1828.0
2011-10-08 19:00:00,1798.0
2011-10-08 20:00:00,1829.0
2011-10-08 21:00:00,1818.0
2011-10-08 22:00:00,1730.0
2011-10-08 23:00:00,1615.0
2011-10-08 00:00:00,1574.0
