Datetime,DAYTON_MW
2010-01-02 01:00:00,2000.0
2010-01-02 02:00:00,1952.0
2010-01-02 03:00:00,1920.0
2010-01-02 04:00:00,1916.0
2010-01-02 05:00:00,1932.0
2010-01-02 06:00:00,1985.0
2010-01-02 07:00:00,2047.0
2010-01-02 08:00:00,2132.0
2010-01-02 09:00:00,2174.0
2010-01-02 10:00:00,2221.0
2010-01-02 11:00:00,2241.0
2010-01-02 12:00:00,2226.0
2010-01-02 13:00:00,2195.0
2010-01-02 14:00:00,2159.0
2010-01-02 15:00:00,2186.0
2010-01-02 16:00:00,2184.0
2010-01-02 17:00:00,2214.0
2010-01-02 18:00:00,2343.0
2010-01-02 19:00:00,2458.0
2010-01-02 20:00:00,2437.0
2010-01-02 21:00:00,2409.0
2010-01-02 22:00:00,2375.0
2010-01-02 23:00:00,2293.0
2010-01-02 00:00:00,2078.0
