Datetime,DAYTON_MW
2007-04-15 01:00:00,1768.0
2007-04-15 02:00:00,1715.0
2007-04-15 03:00:00,1683.0
2007-04-15 04:00:00,1659.0
2007-04-15 05:00:00,1669.0
2007-04-15 06:00:00,1687.0
2007-04-15 07:00:00,1753.0
2007-04-15 08:00:00,1818.0
2007-04-15 09:00:00,1906.0
2007-04-15 10:00:00,1979.0
2007-04-15 11:00:00,2012.0
2007-04-15 12:00:00,2016.0
2007-04-15 13:00:00,2020.0
2007-04-15 14:00:00,1976.0
2007-04-15 15:00:00,1926.0
2007-04-15 16:00:00,1888.0
2007-04-15 17:00:00,1865.0
2007-04-15 18:00:00,1886.0
2007-04-15 19:00:00,1890.0
2007-04-15 20:00:00,1896.0
2007-04-15 21:00:00,2006.0
2007-04-15 22:00:00,2023.0
2007-04-15 23:00:00,1943.0
2007-04-15 00:00:00,1860.0
