Datetime,DAYTON_MW
2008-07-17 01:00:00,2346.0
2008-07-17 02:00:00,2188.0
2008-07-17 03:00:00,2054.0
2008-07-17 04:00:00,1986.0
2008-07-17 05:00:00,1952.0
2008-07-17 06:00:00,2030.0
2008-07-17 07:00:00,2165.0
2008-07-17 08:00:00,2334.0
2008-07-17 09:00:00,2505.0
2008-07-17 10:00:00,2688.0
2008-07-17 11:00:00,2863.0
2008-07-17 12:00:00,3011.0
2008-07-17 13:00:00,3142.0
2008-07-17 14:00:00,3242.0
2008-07-17 15:00:00,3282.0
2008-07-17 16:00:00,3310.0
2008-07-17 17:00:00,3334.0
2008-07-17 18:00:00,3337.0
2008-07-17 19:00:00,3295.0
2008-07-17 20:00:00,3213.0
2008-07-17 21:00:00,3074.0
2008-07-17 22:00:00,3020.0
2008-07-17 23:00:00,2826.0
2008-07-17 00:00:00,2564.0
