Datetime,DAYTON_MW
2013-08-03 01:00:00,1750.0
2013-08-03 02:00:00,1629.0
2013-08-03 03:00:00,1548.0
2013-08-03 04:00:00,1502.0
2013-08-03 05:00:00,1486.0
2013-08-03 06:00:00,1510.0
2013-08-03 07:00:00,1565.0
2013-08-03 08:00:00,1600.0
2013-08-03 09:00:00,1719.0
2013-08-03 10:00:00,1823.0
2013-08-03 11:00:00,1915.0
2013-08-03 12:00:00,1968.0
2013-08-03 13:00:00,2027.0
2013-08-03 14:00:00,2074.0
2013-08-03 15:00:00,2101.0
2013-08-03 16:00:00,2150.0
2013-08-03 17:00:00,2195.0
2013-08-03 18:00:00,2225.0
2013-08-03 19:00:00,2201.0
2013-08-03 20:00:00,2135.0
2013-08-03 21:00:00,2049.0
2013-08-03 22:00:00,2035.0
2013-08-03 23:00:00,1904.0
2013-08-03 00:00:00,1899.0
