Datetime,DAYTON_MW
2016-03-01 01:00:00,1769.0
2016-03-01 02:00:00,1726.0
2016-03-01 03:00:00,1717.0
2016-03-01 04:00:00,1717.0
2016-03-01 05:00:00,1769.0
2016-03-01 06:00:00,1915.0
2016-03-01 07:00:00,2131.0
2016-03-01 08:00:00,2202.0
2016-03-01 09:00:00,2197.0
2016-03-01 10:00:00,2175.0
2016-03-01 11:00:00,2170.0
2016-03-01 12:00:00,2159.0
2016-03-01 13:00:00,2177.0
2016-03-01 14:00:00,2167.0
2016-03-01 15:00:00,2166.0
2016-03-01 16:00:00,2135.0
2016-03-01 17:00:00,2122.0
2016-03-01 18:00:00,2181.0
2016-03-01 19:00:00,2255.0
2016-03-01 20:00:00,2313.0
2016-03-01 21:00:00,2316.0
2016-03-01 22:00:00,2288.0
2016-03-01 23:00:00,2200.0
2016-03-01 00:00:00,1825.0
