Datetime,DAYTON_MW
2009-02-22 01:00:00,1923.0
2009-02-22 02:00:00,1878.0
2009-02-22 03:00:00,1857.0
2009-02-22 04:00:00,1852.0
2009-02-22 05:00:00,1867.0
2009-02-22 06:00:00,1907.0
2009-02-22 07:00:00,1975.0
2009-02-22 08:00:00,2035.0
2009-02-22 09:00:00,2107.0
2009-02-22 10:00:00,2179.0
2009-02-22 11:00:00,2186.0
2009-02-22 12:00:00,2197.0
2009-02-22 13:00:00,2184.0
2009-02-22 14:00:00,2170.0
2009-02-22 15:00:00,2145.0
2009-02-22 16:00:00,2147.0
2009-02-22 17:00:00,2169.0
2009-02-22 18:00:00,2229.0
2009-02-22 19:00:00,2345.0
2009-02-22 20:00:00,2395.0
2009-02-22 21:00:00,2376.0
2009-02-22 22:00:00,2304.0
2009-02-22 23:00:00,2198.0
2009-02-22 00:00:00,2016.0
