Datetime,DAYTON_MW
2018-06-20 01:00:00,2002.0
2018-06-20 02:00:00,1906.0
2018-06-20 03:00:00,1836.0
2018-06-20 04:00:00,1789.0
2018-06-20 05:00:00,1798.0
2018-06-20 06:00:00,1861.0
2018-06-20 07:00:00,1997.0
2018-06-20 08:00:00,2147.0
2018-06-20 09:00:00,2277.0
2018-06-20 10:00:00,2377.0
2018-06-20 11:00:00,2537.0
2018-06-20 12:00:00,2677.0
2018-06-20 13:00:00,2810.0
2018-06-20 14:00:00,2877.0
2018-06-20 15:00:00,2937.0
2018-06-20 16:00:00,2967.0
2018-06-20 17:00:00,2969.0
2018-06-20 18:00:00,2962.0
2018-06-20 19:00:00,2889.0
2018-06-20 20:00:00,2753.0
2018-06-20 21:00:00,2634.0
2018-06-20 22:00:00,2575.0
2018-06-20 23:00:00,2433.0
2018-06-20 00:00:00,2154.0
