Datetime,DAYTON_MW
2006-08-25 01:00:00,2185.0
2006-08-25 02:00:00,2028.0
2006-08-25 03:00:00,1921.0
2006-08-25 04:00:00,1852.0
2006-08-25 05:00:00,1880.0
2006-08-25 06:00:00,1960.0
2006-08-25 07:00:00,2166.0
2006-08-25 08:00:00,2291.0
2006-08-25 09:00:00,2382.0
2006-08-25 10:00:00,2482.0
2006-08-25 11:00:00,2625.0
2006-08-25 12:00:00,2721.0
2006-08-25 13:00:00,2891.0
2006-08-25 14:00:00,3032.0
2006-08-25 15:00:00,3084.0
2006-08-25 16:00:00,3122.0
2006-08-25 17:00:00,3147.0
2006-08-25 18:00:00,3090.0
2006-08-25 19:00:00,2949.0
2006-08-25 20:00:00,2831.0
2006-08-25 21:00:00,2780.0
2006-08-25 22:00:00,2702.0
2006-08-25 23:00:00,2500.0
2006-08-25 00:00:00,2356.0
