Datetime,DAYTON_MW
2015-04-19 01:00:00,1340.0
2015-04-19 02:00:00,1260.0
2015-04-19 03:00:00,1225.0
2015-04-19 04:00:00,1201.0
2015-04-19 05:00:00,1191.0
2015-04-19 06:00:00,1216.0
2015-04-19 07:00:00,1255.0
2015-04-19 08:00:00,1286.0
2015-04-19 09:00:00,1378.0
2015-04-19 10:00:00,1457.0
2015-04-19 11:00:00,1499.0
2015-04-19 12:00:00,1526.0
2015-04-19 13:00:00,1555.0
2015-04-19 14:00:00,1568.0
2015-04-19 15:00:00,1572.0
2015-04-19 16:00:00,1567.0
2015-04-19 17:00:00,1599.0
2015-04-19 18:00:00,1633.0
2015-04-19 19:00:00,1651.0
2015-04-19 20:00:00,1654.0
2015-04-19 21:00:00,1711.0
2015-04-19 22:00:00,1676.0
2015-04-19 23:00:00,1589.0
2015-04-19 00:00:00,1449.0
