Datetime,NI_MW
2010-07-10 01:00:00,13232.0
2010-07-10 02:00:00,12079.0
2010-07-10 03:00:00,11296.0
2010-07-10 04:00:00,10726.0
2010-07-10 05:00:00,10377.0
2010-07-10 06:00:00,10232.0
2010-07-10 07:00:00,10143.0
2010-07-10 08:00:00,10454.0
2010-07-10 09:00:00,11554.0
2010-07-10 10:00:00,12807.0
2010-07-10 11:00:00,14107.0
2010-07-10 12:00:00,15207.0
2010-07-10 13:00:00,16031.0
2010-07-10 14:00:00,16477.0
2010-07-10 15:00:00,16759.0
2010-07-10 16:00:00,16958.0
2010-07-10 17:00:00,17092.0
2010-07-10 18:00:00,17118.0
2010-07-10 19:00:00,16747.0
2010-07-10 20:00:00,16177.0
2010-07-10 21:00:00,15533.0
2010-07-10 22:00:00,15023.0
2010-07-10 23:00:00,14712.0
2010-07-10 00:00:00,14457.0
