Datetime,NI_MW
2005-10-04 01:00:00,12619.0
2005-10-04 02:00:00,11614.0
2005-10-04 03:00:00,10972.0
2005-10-04 04:00:00,10531.0
2005-10-04 05:00:00,10317.0
2005-10-04 06:00:00,10414.0
2005-10-04 07:00:00,11160.0
2005-10-04 08:00:00,12609.0
2005-10-04 09:00:00,13444.0
2005-10-04 10:00:00,14228.0
2005-10-04 11:00:00,14805.0
2005-10-04 12:00:00,15994.0
2005-10-04 13:00:00,16736.0
2005-10-04 14:00:00,17248.0
2005-10-04 15:00:00,17731.0
2005-10-04 16:00:00,18035.0
2005-10-04 17:00:00,18199.0
2005-10-04 18:00:00,18164.0
2005-10-04 19:00:00,17657.0
2005-10-04 20:00:00,17434.0
2005-10-04 21:00:00,17558.0
2005-10-04 22:00:00,17006.0
2005-10-04 23:00:00,15956.0
2005-10-04 00:00:00,14054.0
