Datetime,NI_MW
2008-01-30 01:00:00,12524.0
2008-01-30 02:00:00,12140.0
2008-01-30 03:00:00,11932.0
2008-01-30 04:00:00,11857.0
2008-01-30 05:00:00,11893.0
2008-01-30 06:00:00,12161.0
2008-01-30 07:00:00,12880.0
2008-01-30 08:00:00,14130.0
2008-01-30 09:00:00,14660.0
2008-01-30 10:00:00,14757.0
2008-01-30 11:00:00,14799.0
2008-01-30 12:00:00,14815.0
2008-01-30 13:00:00,14766.0
2008-01-30 14:00:00,14597.0
2008-01-30 15:00:00,14495.0
2008-01-30 16:00:00,14327.0
2008-01-30 17:00:00,14220.0
2008-01-30 18:00:00,14467.0
2008-01-30 19:00:00,15365.0
2008-01-30 20:00:00,15502.0
2008-01-30 21:00:00,15327.0
2008-01-30 22:00:00,15009.0
2008-01-30 23:00:00,14377.0
2008-01-30 00:00:00,13209.0
