Datetime,NI_MW
2006-08-18 01:00:00,12843.0
2006-08-18 02:00:00,11978.0
2006-08-18 03:00:00,11351.0
2006-08-18 04:00:00,10940.0
2006-08-18 05:00:00,10759.0
2006-08-18 06:00:00,10865.0
2006-08-18 07:00:00,11536.0
2006-08-18 08:00:00,12530.0
2006-08-18 09:00:00,13534.0
2006-08-18 10:00:00,14445.0
2006-08-18 11:00:00,15239.0
2006-08-18 12:00:00,16010.0
2006-08-18 13:00:00,16530.0
2006-08-18 14:00:00,16580.0
2006-08-18 15:00:00,16704.0
2006-08-18 16:00:00,16694.0
2006-08-18 17:00:00,16482.0
2006-08-18 18:00:00,16225.0
2006-08-18 19:00:00,15924.0
2006-08-18 20:00:00,15772.0
2006-08-18 21:00:00,15829.0
2006-08-18 22:00:00,15812.0
2006-08-18 23:00:00,15361.0
2006-08-18 00:00:00,14030.0
