Datetime,NI_MW
2006-03-06 01:00:00,9993.0
2006-03-06 02:00:00,9545.0
2006-03-06 03:00:00,9348.0
2006-03-06 04:00:00,9228.0
2006-03-06 05:00:00,9290.0
2006-03-06 06:00:00,9551.0
2006-03-06 07:00:00,10337.0
2006-03-06 08:00:00,11444.0
2006-03-06 09:00:00,12114.0
2006-03-06 10:00:00,12515.0
2006-03-06 11:00:00,12669.0
2006-03-06 12:00:00,12797.0
2006-03-06 13:00:00,12748.0
2006-03-06 14:00:00,12596.0
2006-03-06 15:00:00,12623.0
2006-03-06 16:00:00,12603.0
2006-03-06 17:00:00,12608.0
2006-03-06 18:00:00,12783.0
2006-03-06 19:00:00,13078.0
2006-03-06 20:00:00,13536.0
2006-03-06 21:00:00,13351.0
2006-03-06 22:00:00,13029.0
2006-03-06 23:00:00,12395.0
2006-03-06 00:00:00,10627.0
