Datetime,NI_MW
2009-07-06 01:00:00,10016.0
2009-07-06 02:00:00,9362.0
2009-07-06 03:00:00,8855.0
2009-07-06 04:00:00,8599.0
2009-07-06 05:00:00,8467.0
2009-07-06 06:00:00,8599.0
2009-07-06 07:00:00,8939.0
2009-07-06 08:00:00,9862.0
2009-07-06 09:00:00,11040.0
2009-07-06 10:00:00,12080.0
2009-07-06 11:00:00,12880.0
2009-07-06 12:00:00,13557.0
2009-07-06 13:00:00,14094.0
2009-07-06 14:00:00,14409.0
2009-07-06 15:00:00,14780.0
2009-07-06 16:00:00,15025.0
2009-07-06 17:00:00,15116.0
2009-07-06 18:00:00,15143.0
2009-07-06 19:00:00,14995.0
2009-07-06 20:00:00,14614.0
2009-07-06 21:00:00,14165.0
2009-07-06 22:00:00,13874.0
2009-07-06 23:00:00,13654.0
2009-07-06 00:00:00,10911.0
