Datetime,NI_MW
2006-12-27 01:00:00,10674.0
2006-12-27 02:00:00,10006.0
2006-12-27 03:00:00,9634.0
2006-12-27 04:00:00,9425.0
2006-12-27 05:00:00,9376.0
2006-12-27 06:00:00,9586.0
2006-12-27 07:00:00,10197.0
2006-12-27 08:00:00,11211.0
2006-12-27 09:00:00,11820.0
2006-12-27 10:00:00,12064.0
2006-12-27 11:00:00,12287.0
2006-12-27 12:00:00,12445.0
2006-12-27 13:00:00,12496.0
2006-12-27 14:00:00,12435.0
2006-12-27 15:00:00,12391.0
2006-12-27 16:00:00,12281.0
2006-12-27 17:00:00,12256.0
2006-12-27 18:00:00,13144.0
2006-12-27 19:00:00,13807.0
2006-12-27 20:00:00,13698.0
2006-12-27 21:00:00,13452.0
2006-12-27 22:00:00,13151.0
2006-12-27 23:00:00,12594.0
2006-12-27 00:00:00,11597.0
