Datetime,NI_MW
2006-12-21 01:00:00,11271.0
2006-12-21 02:00:00,10504.0
2006-12-21 03:00:00,10035.0
2006-12-21 04:00:00,9828.0
2006-12-21 05:00:00,9740.0
2006-12-21 06:00:00,9939.0
2006-12-21 07:00:00,10670.0
2006-12-21 08:00:00,11877.0
2006-12-21 09:00:00,12712.0
2006-12-21 10:00:00,13014.0
2006-12-21 11:00:00,13141.0
2006-12-21 12:00:00,13264.0
2006-12-21 13:00:00,13269.0
2006-12-21 14:00:00,13129.0
2006-12-21 15:00:00,13205.0
2006-12-21 16:00:00,13096.0
2006-12-21 17:00:00,13139.0
2006-12-21 18:00:00,13847.0
2006-12-21 19:00:00,14205.0
2006-12-21 20:00:00,14091.0
2006-12-21 21:00:00,13855.0
2006-12-21 22:00:00,13494.0
2006-12-21 23:00:00,12913.0
2006-12-21 00:00:00,12398.0
