Datetime,NI_MW
2009-01-31 01:00:00,12147.0
2009-01-31 02:00:00,11662.0
2009-01-31 03:00:00,11268.0
2009-01-31 04:00:00,11016.0
2009-01-31 05:00:00,10895.0
2009-01-31 06:00:00,10972.0
2009-01-31 07:00:00,11183.0
2009-01-31 08:00:00,11621.0
2009-01-31 09:00:00,11826.0
2009-01-31 10:00:00,12111.0
2009-01-31 11:00:00,12155.0
2009-01-31 12:00:00,12073.0
2009-01-31 13:00:00,11906.0
2009-01-31 14:00:00,11635.0
2009-01-31 15:00:00,11353.0
2009-01-31 16:00:00,11083.0
2009-01-31 17:00:00,11026.0
2009-01-31 18:00:00,11274.0
2009-01-31 19:00:00,12247.0
2009-01-31 20:00:00,12446.0
2009-01-31 21:00:00,12342.0
2009-01-31 22:00:00,12116.0
2009-01-31 23:00:00,11762.0
2009-01-31 00:00:00,12894.0
