Datetime,NI_MW
2010-12-25 01:00:00,10538.0
2010-12-25 02:00:00,10036.0
2010-12-25 03:00:00,9643.0
2010-12-25 04:00:00,9382.0
2010-12-25 05:00:00,9257.0
2010-12-25 06:00:00,9240.0
2010-12-25 07:00:00,9387.0
2010-12-25 08:00:00,9672.0
2010-12-25 09:00:00,9791.0
2010-12-25 10:00:00,9956.0
2010-12-25 11:00:00,10138.0
2010-12-25 12:00:00,10215.0
2010-12-25 13:00:00,10368.0
2010-12-25 14:00:00,10345.0
2010-12-25 15:00:00,10190.0
2010-12-25 16:00:00,10159.0
2010-12-25 17:00:00,10275.0
2010-12-25 18:00:00,10899.0
2010-12-25 19:00:00,11518.0
2010-12-25 20:00:00,11464.0
2010-12-25 21:00:00,11470.0
2010-12-25 22:00:00,11395.0
2010-12-25 23:00:00,11289.0
2010-12-25 00:00:00,11071.0
