Datetime,NI_MW
2005-06-17 01:00:00,10452.0
2005-06-17 02:00:00,9623.0
2005-06-17 03:00:00,9099.0
2005-06-17 04:00:00,8798.0
2005-06-17 05:00:00,8651.0
2005-06-17 06:00:00,8746.0
2005-06-17 07:00:00,9109.0
2005-06-17 08:00:00,10101.0
2005-06-17 09:00:00,11170.0
2005-06-17 10:00:00,11903.0
2005-06-17 11:00:00,12336.0
2005-06-17 12:00:00,12631.0
2005-06-17 13:00:00,12636.0
2005-06-17 14:00:00,12725.0
2005-06-17 15:00:00,12661.0
2005-06-17 16:00:00,12531.0
2005-06-17 17:00:00,12341.0
2005-06-17 18:00:00,11993.0
2005-06-17 19:00:00,11719.0
2005-06-17 20:00:00,11427.0
2005-06-17 21:00:00,11164.0
2005-06-17 22:00:00,11275.0
2005-06-17 23:00:00,11321.0
2005-06-17 00:00:00,11509.0
