Datetime,NI_MW
2006-03-18 01:00:00,10504.0
2006-03-18 02:00:00,9950.0
2006-03-18 03:00:00,9648.0
2006-03-18 04:00:00,9469.0
2006-03-18 05:00:00,9370.0
2006-03-18 06:00:00,9447.0
2006-03-18 07:00:00,9802.0
2006-03-18 08:00:00,9963.0
2006-03-18 09:00:00,10314.0
2006-03-18 10:00:00,10633.0
2006-03-18 11:00:00,10783.0
2006-03-18 12:00:00,10847.0
2006-03-18 13:00:00,10789.0
2006-03-18 14:00:00,10607.0
2006-03-18 15:00:00,10357.0
2006-03-18 16:00:00,10131.0
2006-03-18 17:00:00,10026.0
2006-03-18 18:00:00,10031.0
2006-03-18 19:00:00,10328.0
2006-03-18 20:00:00,11191.0
2006-03-18 21:00:00,11411.0
2006-03-18 22:00:00,11329.0
2006-03-18 23:00:00,10972.0
2006-03-18 00:00:00,11323.0
