Datetime,MW
2004-11-20 01:00:00,12409.0
2004-11-20 02:00:00,11868.0
2004-11-20 03:00:00,11606.0
2004-11-20 04:00:00,11585.0
2004-11-20 05:00:00,11604.0
2004-11-20 06:00:00,11901.0
2004-11-20 07:00:00,12397.0
2004-11-20 08:00:00,13130.0
2004-11-20 09:00:00,13816.0
2004-11-20 10:00:00,14252.0
2004-11-20 11:00:00,14419.0
2004-11-20 12:00:00,14392.0
2004-11-20 13:00:00,14137.0
2004-11-20 14:00:00,13920.0
2004-11-20 15:00:00,13714.0
2004-11-20 16:00:00,13581.0
2004-11-20 17:00:00,13854.0
2004-11-20 18:00:00,14598.0
2004-11-20 19:00:00,14640.0
2004-11-20 20:00:00,14316.0
2004-11-20 21:00:00,14143.0
2004-11-20 22:00:00,13759.0
2004-11-20 23:00:00,13159.0
2004-11-20 00:00:00,13167.0
