Datetime,MW
2005-01-14 01:00:00,11265.0
2005-01-14 02:00:00,10817.0
2005-01-14 03:00:00,10572.0
2005-01-14 04:00:00,10484.0
2005-01-14 05:00:00,10477.0
2005-01-14 06:00:00,10781.0
2005-01-14 07:00:00,11532.0
2005-01-14 08:00:00,12859.0
2005-01-14 09:00:00,13626.0
2005-01-14 10:00:00,13713.0
2005-01-14 11:00:00,13678.0
2005-01-14 12:00:00,13666.0
2005-01-14 13:00:00,13573.0
2005-01-14 14:00:00,13454.0
2005-01-14 15:00:00,13379.0
2005-01-14 16:00:00,13241.0
2005-01-14 17:00:00,13159.0
2005-01-14 18:00:00,13636.0
2005-01-14 19:00:00,14569.0
2005-01-14 20:00:00,14455.0
2005-01-14 21:00:00,14290.0
2005-01-14 22:00:00,13938.0
2005-01-14 23:00:00,13525.0
2005-01-14 00:00:00,12077.0
