Datetime,MW
2004-10-16 01:00:00,1602.0
2004-10-16 02:00:00,1518.0
2004-10-16 03:00:00,1475.0
2004-10-16 04:00:00,1456.0
2004-10-16 05:00:00,1456.0
2004-10-16 06:00:00,1491.0
2004-10-16 07:00:00,1580.0
2004-10-16 08:00:00,1698.0
2004-10-16 09:00:00,1780.0
2004-10-16 10:00:00,1855.0
2004-10-16 11:00:00,1890.0
2004-10-16 12:00:00,1892.0
2004-10-16 13:00:00,1871.0
2004-10-16 14:00:00,1851.0
2004-10-16 15:00:00,1824.0
2004-10-16 16:00:00,1817.0
2004-10-16 17:00:00,1834.0
2004-10-16 18:00:00,1831.0
2004-10-16 19:00:00,1850.0
2004-10-16 20:00:00,1911.0
2004-10-16 21:00:00,1890.0
2004-10-16 22:00:00,1818.0
2004-10-16 23:00:00,1723.0
2004-10-16 00:00:00,1728.0
