Datetime,MW
2005-01-06 01:00:00,5461.0
2005-01-06 02:00:00,5315.0
2005-01-06 03:00:00,5263.0
2005-01-06 04:00:00,5253.0
2005-01-06 05:00:00,5344.0
2005-01-06 06:00:00,5696.0
2005-01-06 07:00:00,6202.0
2005-01-06 08:00:00,6515.0
2005-01-06 09:00:00,6476.0
2005-01-06 10:00:00,6503.0
2005-01-06 11:00:00,6554.0
2005-01-06 12:00:00,6591.0
2005-01-06 13:00:00,6530.0
2005-01-06 14:00:00,6452.0
2005-01-06 15:00:00,6409.0
2005-01-06 16:00:00,6393.0
2005-01-06 17:00:00,6545.0
2005-01-06 18:00:00,6881.0
2005-01-06 19:00:00,6979.0
2005-01-06 20:00:00,6861.0
2005-01-06 21:00:00,6795.0
2005-01-06 22:00:00,6564.0
2005-01-06 23:00:00,6250.0
2005-01-06 00:00:00,5756.0
