Datetime,MW
2004-10-05 01:00:00,1658.0
2004-10-05 02:00:00,1588.0
2004-10-05 03:00:00,1543.0
2004-10-05 04:00:00,1539.0
2004-10-05 05:00:00,1577.0
2004-10-05 06:00:00,1710.0
2004-10-05 07:00:00,1980.0
2004-10-05 08:00:00,2142.0
2004-10-05 09:00:00,2144.0
2004-10-05 10:00:00,2148.0
2004-10-05 11:00:00,2156.0
2004-10-05 12:00:00,2151.0
2004-10-05 13:00:00,2144.0
2004-10-05 14:00:00,2151.0
2004-10-05 15:00:00,2138.0
2004-10-05 16:00:00,2107.0
2004-10-05 17:00:00,2101.0
2004-10-05 18:00:00,2080.0
2004-10-05 19:00:00,2065.0
2004-10-05 20:00:00,2147.0
2004-10-05 21:00:00,2205.0
2004-10-05 22:00:00,2097.0
2004-10-05 23:00:00,1946.0
2004-10-05 00:00:00,1766.0
