Datetime,MW
2004-10-02 01:00:00,1554.0
2004-10-02 02:00:00,1465.0
2004-10-02 03:00:00,1417.0
2004-10-02 04:00:00,1380.0
2004-10-02 05:00:00,1386.0
2004-10-02 06:00:00,1420.0
2004-10-02 07:00:00,1499.0
2004-10-02 08:00:00,1593.0
2004-10-02 09:00:00,1686.0
2004-10-02 10:00:00,1781.0
2004-10-02 11:00:00,1839.0
2004-10-02 12:00:00,1825.0
2004-10-02 13:00:00,1793.0
2004-10-02 14:00:00,1750.0
2004-10-02 15:00:00,1724.0
2004-10-02 16:00:00,1726.0
2004-10-02 17:00:00,1708.0
2004-10-02 18:00:00,1690.0
2004-10-02 19:00:00,1681.0
2004-10-02 20:00:00,1728.0
2004-10-02 21:00:00,1766.0
2004-10-02 22:00:00,1697.0
2004-10-02 23:00:00,1590.0
2004-10-02 00:00:00,1700.0
