Datetime,MW
2004-12-10 01:00:00,10132.0
2004-12-10 02:00:00,9398.0
2004-12-10 03:00:00,9004.0
2004-12-10 04:00:00,8806.0
2004-12-10 05:00:00,8735.0
2004-12-10 06:00:00,8987.0
2004-12-10 07:00:00,9706.0
2004-12-10 08:00:00,11070.0
2004-12-10 09:00:00,11959.0
2004-12-10 10:00:00,12110.0
2004-12-10 11:00:00,12222.0
2004-12-10 12:00:00,12302.0
2004-12-10 13:00:00,12251.0
2004-12-10 14:00:00,12264.0
2004-12-10 15:00:00,12233.0
2004-12-10 16:00:00,12209.0
2004-12-10 17:00:00,12415.0
2004-12-10 18:00:00,13183.0
2004-12-10 19:00:00,13610.0
2004-12-10 20:00:00,13374.0
2004-12-10 21:00:00,13061.0
2004-12-10 22:00:00,12807.0
2004-12-10 23:00:00,12307.0
2004-12-10 00:00:00,11239.0
