Datetime,MW
2004-11-07 01:00:00,23665.0
2004-11-07 02:00:00,22667.0
2004-11-07 03:00:00,22207.0
2004-11-07 04:00:00,21982.0
2004-11-07 05:00:00,22099.0
2004-11-07 06:00:00,22601.0
2004-11-07 07:00:00,23419.0
2004-11-07 08:00:00,24318.0
2004-11-07 09:00:00,25507.0
2004-11-07 10:00:00,26320.0
2004-11-07 11:00:00,26613.0
2004-11-07 12:00:00,26613.0
2004-11-07 13:00:00,26561.0
2004-11-07 14:00:00,26274.0
2004-11-07 15:00:00,25992.0
2004-11-07 16:00:00,25980.0
2004-11-07 17:00:00,27036.0
2004-11-07 18:00:00,30002.0
2004-11-07 19:00:00,30537.0
2004-11-07 20:00:00,30016.0
2004-11-07 21:00:00,29157.0
2004-11-07 22:00:00,27659.0
2004-11-07 23:00:00,25739.0
2004-11-07 00:00:00,24945.0
