Datetime,MW
2004-11-21 01:00:00,23732.0
2004-11-21 02:00:00,22540.0
2004-11-21 03:00:00,21855.0
2004-11-21 04:00:00,21499.0
2004-11-21 05:00:00,21448.0
2004-11-21 06:00:00,21931.0
2004-11-21 07:00:00,22942.0
2004-11-21 08:00:00,23960.0
2004-11-21 09:00:00,25763.0
2004-11-21 10:00:00,27047.0
2004-11-21 11:00:00,27622.0
2004-11-21 12:00:00,27792.0
2004-11-21 13:00:00,27691.0
2004-11-21 14:00:00,27359.0
2004-11-21 15:00:00,27263.0
2004-11-21 16:00:00,27492.0
2004-11-21 17:00:00,28930.0
2004-11-21 18:00:00,31502.0
2004-11-21 19:00:00,31776.0
2004-11-21 20:00:00,31392.0
2004-11-21 21:00:00,30655.0
2004-11-21 22:00:00,29359.0
2004-11-21 23:00:00,27364.0
2004-11-21 00:00:00,25503.0
