Datetime,MW
2004-11-28 01:00:00,4726.0
2004-11-28 02:00:00,4520.0
2004-11-28 03:00:00,4434.0
2004-11-28 04:00:00,4359.0
2004-11-28 05:00:00,4372.0
2004-11-28 06:00:00,4450.0
2004-11-28 07:00:00,4607.0
2004-11-28 08:00:00,4849.0
2004-11-28 09:00:00,5099.0
2004-11-28 10:00:00,5361.0
2004-11-28 11:00:00,5455.0
2004-11-28 12:00:00,5412.0
2004-11-28 13:00:00,5576.0
2004-11-28 14:00:00,5470.0
2004-11-28 15:00:00,5465.0
2004-11-28 16:00:00,5475.0
2004-11-28 17:00:00,5752.0
2004-11-28 18:00:00,6224.0
2004-11-28 19:00:00,6334.0
2004-11-28 20:00:00,6213.0
2004-11-28 21:00:00,6141.0
2004-11-28 22:00:00,5946.0
2004-11-28 23:00:00,5619.0
2004-11-28 00:00:00,5000.0
