Datetime,MW
2004-11-28 01:00:00,12678.0
2004-11-28 02:00:00,12292.0
2004-11-28 03:00:00,12015.0
2004-11-28 04:00:00,11934.0
2004-11-28 05:00:00,12077.0
2004-11-28 06:00:00,12253.0
2004-11-28 07:00:00,12690.0
2004-11-28 08:00:00,13423.0
2004-11-28 09:00:00,14082.0
2004-11-28 10:00:00,14509.0
2004-11-28 11:00:00,14606.0
2004-11-28 12:00:00,14716.0
2004-11-28 13:00:00,14567.0
2004-11-28 14:00:00,14565.0
2004-11-28 15:00:00,14347.0
2004-11-28 16:00:00,14318.0
2004-11-28 17:00:00,14675.0
2004-11-28 18:00:00,15910.0
2004-11-28 19:00:00,16406.0
2004-11-28 20:00:00,16582.0
2004-11-28 21:00:00,16447.0
2004-11-28 22:00:00,16162.0
2004-11-28 23:00:00,15528.0
2004-11-28 00:00:00,13428.0
