Datetime,MW
2005-01-21 01:00:00,1610.0
2005-01-21 02:00:00,1538.0
2005-01-21 03:00:00,1548.0
2005-01-21 04:00:00,1583.0
2005-01-21 05:00:00,1572.0
2005-01-21 06:00:00,1646.0
2005-01-21 07:00:00,1840.0
2005-01-21 08:00:00,1906.0
2005-01-21 09:00:00,1946.0
2005-01-21 10:00:00,2003.0
2005-01-21 11:00:00,1967.0
2005-01-21 12:00:00,1956.0
2005-01-21 13:00:00,1937.0
2005-01-21 14:00:00,1916.0
2005-01-21 15:00:00,1914.0
2005-01-21 16:00:00,1843.0
2005-01-21 17:00:00,1864.0
2005-01-21 18:00:00,1942.0
2005-01-21 19:00:00,1988.0
2005-01-21 20:00:00,1972.0
2005-01-21 21:00:00,1943.0
2005-01-21 22:00:00,1867.0
2005-01-21 23:00:00,1834.0
2005-01-21 00:00:00,1681.0
