Datetime,MW
2005-01-19 01:00:00,1653.0
2005-01-19 02:00:00,1584.0
2005-01-19 03:00:00,1560.0
2005-01-19 04:00:00,1546.0
2005-01-19 05:00:00,1582.0
2005-01-19 06:00:00,1650.0
2005-01-19 07:00:00,1784.0
2005-01-19 08:00:00,1943.0
2005-01-19 09:00:00,1937.0
2005-01-19 10:00:00,1939.0
2005-01-19 11:00:00,2022.0
2005-01-19 12:00:00,1935.0
2005-01-19 13:00:00,1975.0
2005-01-19 14:00:00,2007.0
2005-01-19 15:00:00,1890.0
2005-01-19 16:00:00,1914.0
2005-01-19 17:00:00,1836.0
2005-01-19 18:00:00,2016.0
2005-01-19 19:00:00,2030.0
2005-01-19 20:00:00,1970.0
2005-01-19 21:00:00,1947.0
2005-01-19 22:00:00,1899.0
2005-01-19 23:00:00,1801.0
2005-01-19 00:00:00,1729.0
