Datetime,EKPC_MW
2013-07-26 01:00:00,1164.0
2013-07-26 02:00:00,1064.0
2013-07-26 03:00:00,981.0
2013-07-26 04:00:00,996.0
2013-07-26 05:00:00,985.0
2013-07-26 06:00:00,1019.0
2013-07-26 07:00:00,1095.0
2013-07-26 08:00:00,1101.0
2013-07-26 09:00:00,1172.0
2013-07-26 10:00:00,1244.0
2013-07-26 11:00:00,1351.0
2013-07-26 12:00:00,1414.0
2013-07-26 13:00:00,1533.0
2013-07-26 14:00:00,1577.0
2013-07-26 15:00:00,1680.0
2013-07-26 16:00:00,1724.0
2013-07-26 17:00:00,1727.0
2013-07-26 18:00:00,1740.0
2013-07-26 19:00:00,1749.0
2013-07-26 20:00:00,1710.0
2013-07-26 21:00:00,1625.0
2013-07-26 22:00:00,1555.0
2013-07-26 23:00:00,1507.0
2013-07-26 00:00:00,1319.0
