Datetime,EKPC_MW
2015-03-31 01:00:00,1173.0
2015-03-31 02:00:00,1167.0
2015-03-31 03:00:00,1179.0
2015-03-31 04:00:00,1231.0
2015-03-31 05:00:00,1278.0
2015-03-31 06:00:00,1422.0
2015-03-31 07:00:00,1606.0
2015-03-31 08:00:00,1622.0
2015-03-31 09:00:00,1477.0
2015-03-31 10:00:00,1341.0
2015-03-31 11:00:00,1291.0
2015-03-31 12:00:00,1252.0
2015-03-31 13:00:00,1216.0
2015-03-31 14:00:00,1217.0
2015-03-31 15:00:00,1173.0
2015-03-31 16:00:00,1135.0
2015-03-31 17:00:00,1144.0
2015-03-31 18:00:00,1174.0
2015-03-31 19:00:00,1192.0
2015-03-31 20:00:00,1252.0
2015-03-31 21:00:00,1343.0
2015-03-31 22:00:00,1338.0
2015-03-31 23:00:00,1270.0
2015-03-31 00:00:00,1201.0
