Datetime,EKPC_MW
2015-07-08 01:00:00,1234.0
2015-07-08 02:00:00,1173.0
2015-07-08 03:00:00,1095.0
2015-07-08 04:00:00,1000.0
2015-07-08 05:00:00,1008.0
2015-07-08 06:00:00,1045.0
2015-07-08 07:00:00,1119.0
2015-07-08 08:00:00,1144.0
2015-07-08 09:00:00,1186.0
2015-07-08 10:00:00,1226.0
2015-07-08 11:00:00,1291.0
2015-07-08 12:00:00,1351.0
2015-07-08 13:00:00,1418.0
2015-07-08 14:00:00,1459.0
2015-07-08 15:00:00,1513.0
2015-07-08 16:00:00,1540.0
2015-07-08 17:00:00,1614.0
2015-07-08 18:00:00,1669.0
2015-07-08 19:00:00,1689.0
2015-07-08 20:00:00,1653.0
2015-07-08 21:00:00,1591.0
2015-07-08 22:00:00,1571.0
2015-07-08 23:00:00,1483.0
2015-07-08 00:00:00,1375.0
