Datetime,EKPC_MW
2017-05-18 01:00:00,1243.0
2017-05-18 02:00:00,1173.0
2017-05-18 03:00:00,1105.0
2017-05-18 04:00:00,1092.0
2017-05-18 05:00:00,1082.0
2017-05-18 06:00:00,1151.0
2017-05-18 07:00:00,1261.0
2017-05-18 08:00:00,1331.0
2017-05-18 09:00:00,1327.0
2017-05-18 10:00:00,1398.0
2017-05-18 11:00:00,1531.0
2017-05-18 12:00:00,1603.0
2017-05-18 13:00:00,1664.0
2017-05-18 14:00:00,1706.0
2017-05-18 15:00:00,1762.0
2017-05-18 16:00:00,1787.0
2017-05-18 17:00:00,1787.0
2017-05-18 18:00:00,1831.0
2017-05-18 19:00:00,1812.0
2017-05-18 20:00:00,1752.0
2017-05-18 21:00:00,1702.0
2017-05-18 22:00:00,1742.0
2017-05-18 23:00:00,1607.0
2017-05-18 00:00:00,1383.0
