Datetime,EKPC_MW
2014-11-19 01:00:00,2262.0
2014-11-19 02:00:00,2267.0
2014-11-19 03:00:00,2280.0
2014-11-19 04:00:00,2312.0
2014-11-19 05:00:00,2352.0
2014-11-19 06:00:00,2394.0
2014-11-19 07:00:00,2499.0
2014-11-19 08:00:00,2483.0
2014-11-19 09:00:00,2287.0
2014-11-19 10:00:00,2127.0
2014-11-19 11:00:00,1939.0
2014-11-19 12:00:00,1819.0
2014-11-19 13:00:00,1701.0
2014-11-19 14:00:00,1601.0
2014-11-19 15:00:00,1527.0
2014-11-19 16:00:00,1515.0
2014-11-19 17:00:00,1554.0
2014-11-19 18:00:00,1749.0
2014-11-19 19:00:00,1892.0
2014-11-19 20:00:00,1896.0
2014-11-19 21:00:00,1889.0
2014-11-19 22:00:00,1818.0
2014-11-19 23:00:00,1736.0
2014-11-19 00:00:00,2268.0
