Datetime,EKPC_MW
2014-09-02 01:00:00,1298.0
2014-09-02 02:00:00,1228.0
2014-09-02 03:00:00,1179.0
2014-09-02 04:00:00,1121.0
2014-09-02 05:00:00,1167.0
2014-09-02 06:00:00,1179.0
2014-09-02 07:00:00,1363.0
2014-09-02 08:00:00,1372.0
2014-09-02 09:00:00,1334.0
2014-09-02 10:00:00,1455.0
2014-09-02 11:00:00,1521.0
2014-09-02 12:00:00,1600.0
2014-09-02 13:00:00,1752.0
2014-09-02 14:00:00,1799.0
2014-09-02 15:00:00,1879.0
2014-09-02 16:00:00,1827.0
2014-09-02 17:00:00,1894.0
2014-09-02 18:00:00,1844.0
2014-09-02 19:00:00,1830.0
2014-09-02 20:00:00,1784.0
2014-09-02 21:00:00,1809.0
2014-09-02 22:00:00,1699.0
2014-09-02 23:00:00,1538.0
2014-09-02 00:00:00,1461.0
