Datetime,EKPC_MW
2016-09-25 01:00:00,1223.0
2016-09-25 02:00:00,1168.0
2016-09-25 03:00:00,1057.0
2016-09-25 04:00:00,1039.0
2016-09-25 05:00:00,1019.0
2016-09-25 06:00:00,1038.0
2016-09-25 07:00:00,1028.0
2016-09-25 08:00:00,1081.0
2016-09-25 09:00:00,1185.0
2016-09-25 10:00:00,1334.0
2016-09-25 11:00:00,1417.0
2016-09-25 12:00:00,1529.0
2016-09-25 13:00:00,1647.0
2016-09-25 14:00:00,1768.0
2016-09-25 15:00:00,1860.0
2016-09-25 16:00:00,1887.0
2016-09-25 17:00:00,2004.0
2016-09-25 18:00:00,1980.0
2016-09-25 19:00:00,1977.0
2016-09-25 20:00:00,1886.0
2016-09-25 21:00:00,1871.0
2016-09-25 22:00:00,1730.0
2016-09-25 23:00:00,1526.0
2016-09-25 00:00:00,1373.0
