Datetime,EKPC_MW
2015-12-11 01:00:00,1203.0
2015-12-11 02:00:00,1178.0
2015-12-11 03:00:00,1126.0
2015-12-11 04:00:00,1134.0
2015-12-11 05:00:00,1136.0
2015-12-11 06:00:00,1204.0
2015-12-11 07:00:00,1406.0
2015-12-11 08:00:00,1407.0
2015-12-11 09:00:00,1344.0
2015-12-11 10:00:00,1336.0
2015-12-11 11:00:00,1292.0
2015-12-11 12:00:00,1249.0
2015-12-11 13:00:00,1262.0
2015-12-11 14:00:00,1228.0
2015-12-11 15:00:00,1208.0
2015-12-11 16:00:00,1195.0
2015-12-11 17:00:00,1245.0
2015-12-11 18:00:00,1334.0
2015-12-11 19:00:00,1382.0
2015-12-11 20:00:00,1358.0
2015-12-11 21:00:00,1334.0
2015-12-11 22:00:00,1286.0
2015-12-11 23:00:00,1225.0
2015-12-11 00:00:00,1282.0
