Datetime,EKPC_MW
2015-05-31 01:00:00,1180.0
2015-05-31 02:00:00,1105.0
2015-05-31 03:00:00,1035.0
2015-05-31 04:00:00,991.0
2015-05-31 05:00:00,944.0
2015-05-31 06:00:00,968.0
2015-05-31 07:00:00,990.0
2015-05-31 08:00:00,1040.0
2015-05-31 09:00:00,1172.0
2015-05-31 10:00:00,1288.0
2015-05-31 11:00:00,1364.0
2015-05-31 12:00:00,1386.0
2015-05-31 13:00:00,1423.0
2015-05-31 14:00:00,1484.0
2015-05-31 15:00:00,1488.0
2015-05-31 16:00:00,1462.0
2015-05-31 17:00:00,1538.0
2015-05-31 18:00:00,1530.0
2015-05-31 19:00:00,1508.0
2015-05-31 20:00:00,1458.0
2015-05-31 21:00:00,1451.0
2015-05-31 22:00:00,1436.0
2015-05-31 23:00:00,1313.0
2015-05-31 00:00:00,1352.0
