Datetime,EKPC_MW
2017-03-05 01:00:00,1438.0
2017-03-05 02:00:00,1399.0
2017-03-05 03:00:00,1407.0
2017-03-05 04:00:00,1482.0
2017-03-05 05:00:00,1484.0
2017-03-05 06:00:00,1566.0
2017-03-05 07:00:00,1616.0
2017-03-05 08:00:00,1716.0
2017-03-05 09:00:00,1694.0
2017-03-05 10:00:00,1580.0
2017-03-05 11:00:00,1402.0
2017-03-05 12:00:00,1298.0
2017-03-05 13:00:00,1224.0
2017-03-05 14:00:00,1195.0
2017-03-05 15:00:00,1169.0
2017-03-05 16:00:00,1122.0
2017-03-05 17:00:00,1127.0
2017-03-05 18:00:00,1214.0
2017-03-05 19:00:00,1262.0
2017-03-05 20:00:00,1392.0
2017-03-05 21:00:00,1397.0
2017-03-05 22:00:00,1325.0
2017-03-05 23:00:00,1265.0
2017-03-05 00:00:00,1445.0
