Datetime,EKPC_MW
2018-03-22 01:00:00,1824.0
2018-03-22 02:00:00,1824.0
2018-03-22 03:00:00,1860.0
2018-03-22 04:00:00,1905.0
2018-03-22 05:00:00,1943.0
2018-03-22 06:00:00,2066.0
2018-03-22 07:00:00,2231.0
2018-03-22 08:00:00,2261.0
2018-03-22 09:00:00,2181.0
2018-03-22 10:00:00,2009.0
2018-03-22 11:00:00,1836.0
2018-03-22 12:00:00,1734.0
2018-03-22 13:00:00,1619.0
2018-03-22 14:00:00,1610.0
2018-03-22 15:00:00,1508.0
2018-03-22 16:00:00,1491.0
2018-03-22 17:00:00,1440.0
2018-03-22 18:00:00,1456.0
2018-03-22 19:00:00,1479.0
2018-03-22 20:00:00,1595.0
2018-03-22 21:00:00,1772.0
2018-03-22 22:00:00,1808.0
2018-03-22 23:00:00,1790.0
2018-03-22 00:00:00,1838.0
