Datetime,DEOK_MW
2013-10-11 01:00:00,2289.0
2013-10-11 02:00:00,2183.0
2013-10-11 03:00:00,2131.0
2013-10-11 04:00:00,2112.0
2013-10-11 05:00:00,2144.0
2013-10-11 06:00:00,2284.0
2013-10-11 07:00:00,2566.0
2013-10-11 08:00:00,2751.0
2013-10-11 09:00:00,2776.0
2013-10-11 10:00:00,2804.0
2013-10-11 11:00:00,2877.0
2013-10-11 12:00:00,2954.0
2013-10-11 13:00:00,2999.0
2013-10-11 14:00:00,3059.0
2013-10-11 15:00:00,3086.0
2013-10-11 16:00:00,3117.0
2013-10-11 17:00:00,3109.0
2013-10-11 18:00:00,3083.0
2013-10-11 19:00:00,2993.0
2013-10-11 20:00:00,3017.0
2013-10-11 21:00:00,2970.0
2013-10-11 22:00:00,2886.0
2013-10-11 23:00:00,2720.0
2013-10-11 00:00:00,2446.0
