Datetime,DEOK_MW
2018-07-14 01:00:00,3360.0
2018-07-14 02:00:00,3153.0
2018-07-14 03:00:00,2956.0
2018-07-14 04:00:00,2807.0
2018-07-14 05:00:00,2729.0
2018-07-14 06:00:00,2745.0
2018-07-14 07:00:00,2750.0
2018-07-14 08:00:00,2866.0
2018-07-14 09:00:00,3101.0
2018-07-14 10:00:00,3447.0
2018-07-14 11:00:00,3786.0
2018-07-14 12:00:00,4072.0
2018-07-14 13:00:00,4291.0
2018-07-14 14:00:00,4411.0
2018-07-14 15:00:00,4566.0
2018-07-14 16:00:00,4669.0
2018-07-14 17:00:00,4743.0
2018-07-14 18:00:00,4758.0
2018-07-14 19:00:00,4753.0
2018-07-14 20:00:00,4562.0
2018-07-14 21:00:00,4376.0
2018-07-14 22:00:00,4246.0
2018-07-14 23:00:00,4064.0
2018-07-14 00:00:00,3661.0
