Datetime,DEOK_MW
2016-02-07 01:00:00,2776.0
2016-02-07 02:00:00,2736.0
2016-02-07 03:00:00,2695.0
2016-02-07 04:00:00,2696.0
2016-02-07 05:00:00,2713.0
2016-02-07 06:00:00,2773.0
2016-02-07 07:00:00,2864.0
2016-02-07 08:00:00,2964.0
2016-02-07 09:00:00,3024.0
2016-02-07 10:00:00,2999.0
2016-02-07 11:00:00,2969.0
2016-02-07 12:00:00,2925.0
2016-02-07 13:00:00,2895.0
2016-02-07 14:00:00,2826.0
2016-02-07 15:00:00,2802.0
2016-02-07 16:00:00,2774.0
2016-02-07 17:00:00,2810.0
2016-02-07 18:00:00,2931.0
2016-02-07 19:00:00,3048.0
2016-02-07 20:00:00,3011.0
2016-02-07 21:00:00,2979.0
2016-02-07 22:00:00,2914.0
2016-02-07 23:00:00,2800.0
2016-02-07 00:00:00,2876.0
