Datetime,DEOK_MW
2014-04-18 01:00:00,2281.0
2014-04-18 02:00:00,2209.0
2014-04-18 03:00:00,2171.0
2014-04-18 04:00:00,2162.0
2014-04-18 05:00:00,2211.0
2014-04-18 06:00:00,2365.0
2014-04-18 07:00:00,2566.0
2014-04-18 08:00:00,2687.0
2014-04-18 09:00:00,2767.0
2014-04-18 10:00:00,2793.0
2014-04-18 11:00:00,2802.0
2014-04-18 12:00:00,2777.0
2014-04-18 13:00:00,2753.0
2014-04-18 14:00:00,2732.0
2014-04-18 15:00:00,2731.0
2014-04-18 16:00:00,2719.0
2014-04-18 17:00:00,2673.0
2014-04-18 18:00:00,2649.0
2014-04-18 19:00:00,2592.0
2014-04-18 20:00:00,2550.0
2014-04-18 21:00:00,2624.0
2014-04-18 22:00:00,2659.0
2014-04-18 23:00:00,2525.0
2014-04-18 00:00:00,2443.0
