Datetime,DEOK_MW
2017-07-24 01:00:00,3117.0
2017-07-24 02:00:00,2924.0
2017-07-24 03:00:00,2802.0
2017-07-24 04:00:00,2744.0
2017-07-24 05:00:00,2759.0
2017-07-24 06:00:00,2883.0
2017-07-24 07:00:00,3082.0
2017-07-24 08:00:00,3294.0
2017-07-24 09:00:00,3540.0
2017-07-24 10:00:00,3774.0
2017-07-24 11:00:00,4025.0
2017-07-24 12:00:00,4196.0
2017-07-24 13:00:00,4358.0
2017-07-24 14:00:00,4494.0
2017-07-24 15:00:00,4597.0
2017-07-24 16:00:00,4642.0
2017-07-24 17:00:00,4681.0
2017-07-24 18:00:00,4665.0
2017-07-24 19:00:00,4557.0
2017-07-24 20:00:00,4384.0
2017-07-24 21:00:00,4172.0
2017-07-24 22:00:00,4015.0
2017-07-24 23:00:00,3726.0
2017-07-24 00:00:00,3374.0
