Datetime,DEOK_MW
2018-06-12 01:00:00,2885.0
2018-06-12 02:00:00,2729.0
2018-06-12 03:00:00,2621.0
2018-06-12 04:00:00,2547.0
2018-06-12 05:00:00,2590.0
2018-06-12 06:00:00,2725.0
2018-06-12 07:00:00,2897.0
2018-06-12 08:00:00,3086.0
2018-06-12 09:00:00,3242.0
2018-06-12 10:00:00,3333.0
2018-06-12 11:00:00,3412.0
2018-06-12 12:00:00,3454.0
2018-06-12 13:00:00,3584.0
2018-06-12 14:00:00,3737.0
2018-06-12 15:00:00,3842.0
2018-06-12 16:00:00,3888.0
2018-06-12 17:00:00,3869.0
2018-06-12 18:00:00,3850.0
2018-06-12 19:00:00,3725.0
2018-06-12 20:00:00,3583.0
2018-06-12 21:00:00,3524.0
2018-06-12 22:00:00,3499.0
2018-06-12 23:00:00,3340.0
2018-06-12 00:00:00,3095.0
