Datetime,DEOK_MW
2014-06-13 01:00:00,2804.0
2014-06-13 02:00:00,2636.0
2014-06-13 03:00:00,2535.0
2014-06-13 04:00:00,2489.0
2014-06-13 05:00:00,2503.0
2014-06-13 06:00:00,2627.0
2014-06-13 07:00:00,2796.0
2014-06-13 08:00:00,2954.0
2014-06-13 09:00:00,3090.0
2014-06-13 10:00:00,3213.0
2014-06-13 11:00:00,3248.0
2014-06-13 12:00:00,3254.0
2014-06-13 13:00:00,3291.0
2014-06-13 14:00:00,3363.0
2014-06-13 15:00:00,3420.0
2014-06-13 16:00:00,3467.0
2014-06-13 17:00:00,3514.0
2014-06-13 18:00:00,3514.0
2014-06-13 19:00:00,3424.0
2014-06-13 20:00:00,3296.0
2014-06-13 21:00:00,3138.0
2014-06-13 22:00:00,3081.0
2014-06-13 23:00:00,2943.0
2014-06-13 00:00:00,3039.0
