Datetime,DEOK_MW
2014-09-30 01:00:00,2536.0
2014-09-30 02:00:00,2388.0
2014-09-30 03:00:00,2290.0
2014-09-30 04:00:00,2260.0
2014-09-30 05:00:00,2285.0
2014-09-30 06:00:00,2437.0
2014-09-30 07:00:00,2743.0
2014-09-30 08:00:00,2892.0
2014-09-30 09:00:00,2908.0
2014-09-30 10:00:00,2998.0
2014-09-30 11:00:00,3151.0
2014-09-30 12:00:00,3236.0
2014-09-30 13:00:00,3326.0
2014-09-30 14:00:00,3409.0
2014-09-30 15:00:00,3464.0
2014-09-30 16:00:00,3463.0
2014-09-30 17:00:00,3458.0
2014-09-30 18:00:00,3392.0
2014-09-30 19:00:00,3274.0
2014-09-30 20:00:00,3283.0
2014-09-30 21:00:00,3271.0
2014-09-30 22:00:00,3084.0
2014-09-30 23:00:00,2843.0
2014-09-30 00:00:00,2750.0
