Datetime,DEOK_MW
2016-01-09 01:00:00,2527.0
2016-01-09 02:00:00,2436.0
2016-01-09 03:00:00,2382.0
2016-01-09 04:00:00,2349.0
2016-01-09 05:00:00,2372.0
2016-01-09 06:00:00,2424.0
2016-01-09 07:00:00,2519.0
2016-01-09 08:00:00,2654.0
2016-01-09 09:00:00,2765.0
2016-01-09 10:00:00,2839.0
2016-01-09 11:00:00,2899.0
2016-01-09 12:00:00,2884.0
2016-01-09 13:00:00,2833.0
2016-01-09 14:00:00,2792.0
2016-01-09 15:00:00,2750.0
2016-01-09 16:00:00,2748.0
2016-01-09 17:00:00,2800.0
2016-01-09 18:00:00,2957.0
2016-01-09 19:00:00,2998.0
2016-01-09 20:00:00,2956.0
2016-01-09 21:00:00,2868.0
2016-01-09 22:00:00,2784.0
2016-01-09 23:00:00,2675.0
2016-01-09 00:00:00,2680.0
