Datetime,DEOK_MW
2016-05-16 01:00:00,2277.0
2016-05-16 02:00:00,2219.0
2016-05-16 03:00:00,2196.0
2016-05-16 04:00:00,2199.0
2016-05-16 05:00:00,2269.0
2016-05-16 06:00:00,2478.0
2016-05-16 07:00:00,2773.0
2016-05-16 08:00:00,2915.0
2016-05-16 09:00:00,2937.0
2016-05-16 10:00:00,2951.0
2016-05-16 11:00:00,2959.0
2016-05-16 12:00:00,2928.0
2016-05-16 13:00:00,2912.0
2016-05-16 14:00:00,2900.0
2016-05-16 15:00:00,2861.0
2016-05-16 16:00:00,2832.0
2016-05-16 17:00:00,2815.0
2016-05-16 18:00:00,2825.0
2016-05-16 19:00:00,2786.0
2016-05-16 20:00:00,2788.0
2016-05-16 21:00:00,2829.0
2016-05-16 22:00:00,2837.0
2016-05-16 23:00:00,2655.0
2016-05-16 00:00:00,2380.0
