Datetime,DEOK_MW
2014-03-31 01:00:00,2474.0
2014-03-31 02:00:00,2427.0
2014-03-31 03:00:00,2445.0
2014-03-31 04:00:00,2476.0
2014-03-31 05:00:00,2580.0
2014-03-31 06:00:00,2783.0
2014-03-31 07:00:00,3122.0
2014-03-31 08:00:00,3335.0
2014-03-31 09:00:00,3293.0
2014-03-31 10:00:00,3209.0
2014-03-31 11:00:00,3140.0
2014-03-31 12:00:00,3077.0
2014-03-31 13:00:00,3010.0
2014-03-31 14:00:00,2979.0
2014-03-31 15:00:00,2933.0
2014-03-31 16:00:00,2880.0
2014-03-31 17:00:00,2844.0
2014-03-31 18:00:00,2800.0
2014-03-31 19:00:00,2742.0
2014-03-31 20:00:00,2796.0
2014-03-31 21:00:00,2967.0
2014-03-31 22:00:00,2905.0
2014-03-31 23:00:00,2715.0
2014-03-31 00:00:00,2548.0
