Datetime,AEP_MW
2005-03-14 01:00:00,14691.0
2005-03-14 02:00:00,14644.0
2005-03-14 03:00:00,14613.0
2005-03-14 04:00:00,14860.0
2005-03-14 05:00:00,15258.0
2005-03-14 06:00:00,16333.0
2005-03-14 07:00:00,18006.0
2005-03-14 08:00:00,18619.0
2005-03-14 09:00:00,18389.0
2005-03-14 10:00:00,18154.0
2005-03-14 11:00:00,17767.0
2005-03-14 12:00:00,17391.0
2005-03-14 13:00:00,17002.0
2005-03-14 14:00:00,16664.0
2005-03-14 15:00:00,16241.0
2005-03-14 16:00:00,15864.0
2005-03-14 17:00:00,15837.0
2005-03-14 18:00:00,16086.0
2005-03-14 19:00:00,16876.0
2005-03-14 20:00:00,17938.0
2005-03-14 21:00:00,17940.0
2005-03-14 22:00:00,17641.0
2005-03-14 23:00:00,16793.0
2005-03-14 00:00:00,15368.0
