Datetime,PJME_MW
2015-10-22 01:00:00,22332.0
2015-10-22 02:00:00,21482.0
2015-10-22 03:00:00,21047.0
2015-10-22 04:00:00,20994.0
2015-10-22 05:00:00,21571.0
2015-10-22 06:00:00,23484.0
2015-10-22 07:00:00,27062.0
2015-10-22 08:00:00,28872.0
2015-10-22 09:00:00,28966.0
2015-10-22 10:00:00,28882.0
2015-10-22 11:00:00,28956.0
2015-10-22 12:00:00,29129.0
2015-10-22 13:00:00,29189.0
2015-10-22 14:00:00,29469.0
2015-10-22 15:00:00,29522.0
2015-10-22 16:00:00,29548.0
2015-10-22 17:00:00,29602.0
2015-10-22 18:00:00,29897.0
2015-10-22 19:00:00,31108.0
2015-10-22 20:00:00,31317.0
2015-10-22 21:00:00,30357.0
2015-10-22 22:00:00,28726.0
2015-10-22 23:00:00,26300.0
2015-10-22 00:00:00,23954.0
