Datetime,PJME_MW
2004-03-11 01:00:00,27947.0
2004-03-11 02:00:00,27187.0
2004-03-11 03:00:00,26923.0
2004-03-11 04:00:00,27052.0
2004-03-11 05:00:00,27799.0
2004-03-11 06:00:00,30088.0
2004-03-11 07:00:00,33730.0
2004-03-11 08:00:00,35027.0
2004-03-11 09:00:00,34615.0
2004-03-11 10:00:00,34113.0
2004-03-11 11:00:00,33681.0
2004-03-11 12:00:00,33089.0
2004-03-11 13:00:00,32438.0
2004-03-11 14:00:00,32060.0
2004-03-11 15:00:00,31533.0
2004-03-11 16:00:00,31144.0
2004-03-11 17:00:00,31176.0
2004-03-11 18:00:00,32192.0
2004-03-11 19:00:00,34375.0
2004-03-11 20:00:00,34732.0
2004-03-11 21:00:00,34095.0
2004-03-11 22:00:00,32512.0
2004-03-11 23:00:00,30100.0
2004-03-11 00:00:00,29675.0
