Datetime,PJME_MW
2013-03-20 01:00:00,27619.0
2013-03-20 02:00:00,26977.0
2013-03-20 03:00:00,26757.0
2013-03-20 04:00:00,26919.0
2013-03-20 05:00:00,27786.0
2013-03-20 06:00:00,30262.0
2013-03-20 07:00:00,34387.0
2013-03-20 08:00:00,36074.0
2013-03-20 09:00:00,35378.0
2013-03-20 10:00:00,34467.0
2013-03-20 11:00:00,33915.0
2013-03-20 12:00:00,33225.0
2013-03-20 13:00:00,32529.0
2013-03-20 14:00:00,32074.0
2013-03-20 15:00:00,31512.0
2013-03-20 16:00:00,31448.0
2013-03-20 17:00:00,31675.0
2013-03-20 18:00:00,32017.0
2013-03-20 19:00:00,32600.0
2013-03-20 20:00:00,34424.0
2013-03-20 21:00:00,34883.0
2013-03-20 22:00:00,33576.0
2013-03-20 23:00:00,31208.0
2013-03-20 00:00:00,29132.0
