Datetime,PJME_MW
2008-10-20 01:00:00,24258.0
2008-10-20 02:00:00,23552.0
2008-10-20 03:00:00,23273.0
2008-10-20 04:00:00,23442.0
2008-10-20 05:00:00,24301.0
2008-10-20 06:00:00,26602.0
2008-10-20 07:00:00,30925.0
2008-10-20 08:00:00,33199.0
2008-10-20 09:00:00,33401.0
2008-10-20 10:00:00,33208.0
2008-10-20 11:00:00,33016.0
2008-10-20 12:00:00,32653.0
2008-10-20 13:00:00,32286.0
2008-10-20 14:00:00,32004.0
2008-10-20 15:00:00,31623.0
2008-10-20 16:00:00,31308.0
2008-10-20 17:00:00,31317.0
2008-10-20 18:00:00,31589.0
2008-10-20 19:00:00,33293.0
2008-10-20 20:00:00,34181.0
2008-10-20 21:00:00,33448.0
2008-10-20 22:00:00,31733.0
2008-10-20 23:00:00,29114.0
2008-10-20 00:00:00,25775.0
