Datetime,PJME_MW
2006-03-11 01:00:00,23797.0
2006-03-11 02:00:00,22645.0
2006-03-11 03:00:00,22124.0
2006-03-11 04:00:00,21896.0
2006-03-11 05:00:00,22041.0
2006-03-11 06:00:00,22880.0
2006-03-11 07:00:00,23837.0
2006-03-11 08:00:00,25437.0
2006-03-11 09:00:00,27225.0
2006-03-11 10:00:00,28386.0
2006-03-11 11:00:00,28769.0
2006-03-11 12:00:00,28496.0
2006-03-11 13:00:00,28063.0
2006-03-11 14:00:00,27387.0
2006-03-11 15:00:00,26841.0
2006-03-11 16:00:00,26652.0
2006-03-11 17:00:00,26802.0
2006-03-11 18:00:00,27515.0
2006-03-11 19:00:00,29626.0
2006-03-11 20:00:00,29793.0
2006-03-11 21:00:00,29152.0
2006-03-11 22:00:00,27987.0
2006-03-11 23:00:00,26334.0
2006-03-11 00:00:00,25653.0
