Datetime,PJME_MW
2011-12-01 01:00:00,26602.0
2011-12-01 02:00:00,25763.0
2011-12-01 03:00:00,25432.0
2011-12-01 04:00:00,25607.0
2011-12-01 05:00:00,26493.0
2011-12-01 06:00:00,28893.0
2011-12-01 07:00:00,32766.0
2011-12-01 08:00:00,34244.0
2011-12-01 09:00:00,33770.0
2011-12-01 10:00:00,33252.0
2011-12-01 11:00:00,32731.0
2011-12-01 12:00:00,32205.0
2011-12-01 13:00:00,31697.0
2011-12-01 14:00:00,31381.0
2011-12-01 15:00:00,31091.0
2011-12-01 16:00:00,31241.0
2011-12-01 17:00:00,32812.0
2011-12-01 18:00:00,36031.0
2011-12-01 19:00:00,36396.0
2011-12-01 20:00:00,36092.0
2011-12-01 21:00:00,35434.0
2011-12-01 22:00:00,33970.0
2011-12-01 23:00:00,31480.0
2011-12-01 00:00:00,28321.0
